,English Company Name,Chinese Company Name,Valid Licence since,District,Address,Telephone No,FAX,Email,Placement Type
1915,MAIDS SHOP EMPLOYMENT AGENCY,仲介站僱傭服務,2006,Tsuen Wan District,"Shop 102A, Lower Ground floor, Block 15-19, Podium D, Riviera Gardens, Tsuen Wan, New Territories", , , ,Foreign Domestic Helpers
1916,MAIDSDOT.COM LIMITED,亞太僱傭聯盟有限公司,2015,Central and Western District,"Room 1503, 15th floor, Yue Shing Commercial Building, 15 Queen Victoria Street, Central, Hong Kong",28828880,25238790,sin@maidsdot.com,Foreign Domestic Helpers
1917,MAIDSLAND EMPLOYMENT AGENCY,承諾僱傭中心,2010,Wan Chai District,"Flat D, 7th floor, Hennessy Apartment, 48 Percival Street, Causeway Bay, Hong Kong",29710838,81489614,maidsland2012@yahoo.com.hk,Foreign Domestic Helpers
1918,MAIDSLAND EMPLOYMENT AGENCY,承諾僱傭中心,2016,Kowloon City District,"Shop C3, 1st floor, Planet Square, 1-15 Tak Man Street, Hung Hom, Kowloon",37051737,81489614,mainoffice@maidsland.com.hk,Foreign Domestic Helpers
1919,MAIDSLAND EMPLOYMENT AGENCY,承諾僱傭中心,2021,Yau Tsim Mong District,"Unit 186, 1st floor, Peninsula Centre, 67 Mody Road, Tsim Sha Tsui, Kowloon",35651746, ,maidsland2012@yahoo.com.hk,Foreign Domestic Helpers
1920,MAIDTRIX EMPLOYMENT AGENCY,左右手僱傭中心,2021,Kwun Tong District,"Room 1, 5th floor, Wing Tai Mansion, 6 Tin Heung Street, Kwun Tong, Kowloon",54052944, ,maidtrixhk@gmail.com,Foreign Domestic Helpers
1921,MAINSTAY ASIA LIMITED,,2014,Central and Western District,"Room 1701, 17th floor, Universal Trade Centre, 3-5A Arbuthnot Road, Central, Hong Kong",39561560, ,ctsupport@mainstayasia.com,"Office Staff / Executive Search, Other Non-office Worker"
1922,Maintop Investment Company,美達行,1994,Yau Tsim Mong District,"Room 1409, 14th floor, Beverley Commercial Centre, 87-105 Chatham Road South, Tsim Sha Tsui, Kowloon",23147073,23147056, ,Foreign Domestic Helpers
1923,"MAJOR, LINDSEY & AFRICA",,2005,Central and Western District,"Unit 2308-10, 23rd floor, Prosperity Tower, 39 Queen's Road Central, Central, Hong Kong",31019678, ,hongkong@mlaglobal.com,Office Staff / Executive Search
1924,MAKA EMPLOYMENT AGENCY,,2019,Yau Tsim Mong District,"Room B, 10th floor, Lee May Building, 788-790 Nathan Road, Mong Kok, Kowloon",57933008, ,admin@maka-employment.com,Foreign Domestic Helpers
1925,Malang Employment Service Centre,雅迪專業僱傭中心,2014,Wan Chai District,"3rd floor, Go Wah Mansion, 289 Lockhart Road, Wan Chai, Hong Kong",35661279,29670002,malang.agency@gmail.com,Foreign Domestic Helpers
1926,MALTON GROUP LIMITED,,2017, ,"Room 1602, 16th floor, Progress Commercial Building, 9 Irving Street, Causeway Bay, Hong Kong",96502565, ,nc@maltongroup.com,Office Staff / Executive Search
1927,MAMA Care,愛母嬰,2021,Eastern District,"Room 201, 2nd floor, On Ning Building, 425-431 King's Road, North Point, Hong Kong",29572665, , ,Local Domestic Helpers
1928,MAMA Care,愛母嬰,2021,Central and Western District,"Flat D, 1st floor, On Lok Yuen Building, 25 Des Voeux Road Central, Central, Hong Kong",29572665, , ,Local Domestic Helpers
1929,MAMA EMPLOYMENT AGENCY,好媽媽僱傭公司,2020,Yau Tsim Mong District,"Room 901-2, 9th floor, Wu Sang House, 655 Nathan Road, Mong Kok, Kowloon",23989121,23983990,c.w.wong.joe@gmail.com,Foreign Domestic Helpers
1930,MamaHelpers AI,,2021,Sham Shui Po District,"Room 10, 4th floor, Kwong Tai Factory Building, 750 Cheung Sha Wan Road, Cheung Sha Wan, Kowloon",65248663, ,support@mamahelpers.io,"Local Domestic Helpers, Foreign Domestic Helpers"
1931,Mamie Employment Centre Limited,媽咪僱傭中心有限公司,2013,Yau Tsim Mong District,"Room 1116, 11th floor, Golden Era Plaza, 39-55 Sai Yee Street, Mong Kok, Kowloon",21111105,21111104,customerservice@bliss-agency.com.hk,Foreign Domestic Helpers
1932,Man Hing Co,萬興公司,1997, ,"Flat B, 6th floor, Haven Commercial Building, 6-8 Tsing Fung Street, North Point, Hong Kong", , , ,Foreign Domestic Helpers
1933,MANCHESTER REHABILITATION SERVICES LIMITED,曼徹斯特復康服務有限公司,2019,Kwun Tong District,"Shop 12, Ground floor, On Kwan House, Shun On Estate, Kwun Tong, Kowloon",27711363,23180926, ,"Local Domestic Helpers, Foreign Domestic Helpers, Office Staff / Executive Search, Imported Worker"
1934,MANDA EMPLOYMENT LIMITED,萬達僱傭有限公司,2014,Yuen Long District,"Room 1003, 10th floor, Kwong Wah Plaza, 11 Tai Tong Road, Yuen Long, New Territories",24734307,24702598,info@mandaemployment.com,Foreign Domestic Helpers
1935,Mandurah Consultancy Limited,偲雋人力資源顧問有限公司,2013, ,"Room 1905, 19th floor, Nan Fung Centre, 264-298 Castle Peak Road, Tsuen Wan, New Territories", , , ,Office Staff / Executive Search
1936,Manlink Personnel Consultants Limited,,1991,Tsuen Wan District,"Room 802, 8th floor, Grand City Plaza, 1 Sai Lau Kok Road, Tsuen Wan, New Territories",27233238,23112172,cv.corp@manlink.com.hk,Office Staff / Executive Search
1937,MANNA EMPLOYMENT AGENCY COMPANY LIMITED,天糧僱傭有限公司,2018,Eastern District,"Shop 223B, 2nd floor, Seven Seas Shopping Centre, 121 King's Road, North Point, Hong Kong",55424591,39932185,mannaalice1212@gmail.com,"Local Domestic Helpers, Foreign Domestic Helpers, Office Staff / Executive Search, Imported Worker, Other Non-office Worker"
1938,Manpower Services (Hong Kong) Limited,,1997,Kwun Tong District,"Rooms 2303-4, 23rd floor, 9 Chong Yip Street, Kwun Tong, Kowloon",25253513,28694629,enquiries@manpower.com.hk,Office Staff / Executive Search
1939,Manpower Services (Hong Kong) Limited,,2004,Wan Chai District,"Rooms 301-4, 3rd floor, Harcourt House, 39 Gloucester Road, Wan Chai, Hong Kong",25253513,28694629,enquiries@manpower.com.hk,Office Staff / Executive Search
1940,Manpower Services (Hong Kong) Limited,,2006,Wan Chai District,"22nd floor, Siu On Plaza, 482 Jaffe Road, Causeway Bay, Hong Kong",25253513,28694629,enquiries@manpower.com.hk,Office Staff / Executive Search
1941,Manrison Personnel Limited,民陞晨人力資源顧問有限公司,2020,Tuen Mun District,"Room B2, 26th floor, TML Tower, 3 Hoi Shing Road, Tsuen Wan, New Territories",98583290, ,raymond_lau@manrison.com,Office Staff / Executive Search
1942,Maple Human Resources Consulting,金楓葉人力資源顧問,2008, ,"Suite E, 22nd floor, Maple Mansion, 18 Taikoo Wan Road, Taikoo Shing, Hong Kong", , , ,Office Staff / Executive Search
1943,MapPRO Recruitment Limited,,2018,Yau Tsim Mong District,"Room 1311, 13th floor, Lippo Sun Plaza, 28 Canton Road, Tsim Sha Tsui, Kowloon",97162972, ,judy_law@hotmail.com,Office Staff / Executive Search
1944,Maria's Employment Limited,瑪麗亞僱傭有限公司,2013,Sham Shui Po District,"Room 7, 5th floor, Block D, Ka Ming Court, 688-690 Castle Peak Road, Lai Chi Kok, Kowloon",35689276,35689275,mariaconsultant611@gmail.com,Foreign Domestic Helpers
1945,Mario Recruitment Limited,,2016,Central and Western District,"Unit 703, 7th floor, Universal Trade Centre, 3-5A Arbuthnot Road, Central, Hong Kong",21218968,21809091,ruby@hkcompliance.com,Office Staff / Executive Search
1946,Markwell Service Company,緻佳服務公司,2004,Yau Tsim Mong District,"Room 819, 8th floor, Hollywood Plaza, 610 Nathan Road, Mong Kok, Kowloon",21392752,21392800,billywfko@gmail.com,"Local Domestic Helpers, Foreign Domestic Helpers"
1947,MARLIN EMPLOYMENT AGENCIES,美聯職業介紹所,2018,Kowloon City District,"Unit M2B-3, 7th floor, Kaiser Estate Phase 3, 11 Hok Yuen Street East, Hung Hom, Kowloon",91769088, ,ss.mary@yahoo.com.hk,Foreign Domestic Helpers
1948,MARLIN HAWK HK LIMITED,,2015,Central and Western District,"Level 19, Two Chinachem Central, 26 Des Voeux Road Central, Central, Hong Kong", , ,vunnithan@marlinhawk.com,Office Staff / Executive Search
1949,Mason Human Resources Limited,南亞人力資源中心有限公司,2018,Kwai Tsing District,"Unit A, 25th floor, Block 3, Golden Dragon Industrial Centre, 172-180 Tai Lin Pai Road, Kwai Chung, New Territories",46446201/61551896,30169930,masonhrlhk@gmail.com,Other Non-office Worker
1950,MASS TRINITY INTERNATIONAL LIMITED,萬通國際有限公司,2009,Central and Western District,"Room 706, 7th floor, Tung Ming Building, 40-42 Des Voeux Road Central, Central, Hong Kong",25257512,28681960,topservices.co@gmail.com,"Local Domestic Helpers, Foreign Domestic Helpers"
1951,MASTER ASCENT LIMITED,,2019,Eastern District,"Unit 6B, 6th floor, Tung Kin Factory Building, 196-198 Tsat Tsz Mui Road, North Point, Hong Kong",96191215, ,admin@masterascent.com,Office Staff / Executive Search
1952,Master Consultants Hong Kong,萬得僱傭中心,2006,Tuen Mun District,"Shop 74, Glorious Garden, 45 Lung Mun Road, Tuen Mun, New Territories",24539366,37474292,masteragency88@gmail.com,"Foreign Domestic Helpers, Office Staff / Executive Search"
1953,Master House Employment Agency,萬欣僱傭公司,2020,Kwai Tsing District,"Flat B, 10th floor, Wing Cheung Industrial Building, 58-70 Kwai Cheong Road, Kwai Chung, New Territories",95322633, ,mastermind_emp@yahoo.com.hk,"Local Domestic Helpers, Foreign Domestic Helpers, Office Staff / Executive Search, Imported Worker"
1954,Master Mind Employment Agency Limited,萬佳僱傭中心有限公司,2021,Kwai Tsing District,"Flat B, 10th floor, Wing Cheung Industrial Building, 58-70 Kwai Cheong Road, Kwai Chung, New Territories",95322633,27562051,mastermind_emp@yahoo.com.hk,"Local Domestic Helpers, Foreign Domestic Helpers, Office Staff / Executive Search, Imported Worker"
1955,MASTER TALENT INTERNATIONAL LIMITED,萬傑國際有限公司,2010,Wan Chai District,"Room 1102, 11th floor, The Lee Gardens One, 33 Hysan Avenue, Causeway Bay, Hong Kong",28702916,25530400,info@master-talent.com,Office Staff / Executive Search
1956,Mastergrade Employment Agency Company Limited,萬众僱傭中心有限公司,2019,Yau Tsim Mong District,"Room 812, 8th floor, Seapower Tower, Concordia Plaza, 1 Science Museum Road, Tsim Sha Tsui, Kowloon",70744406, ,mastergradeea@gmail.com,"Foreign Domestic Helpers, Office Staff / Executive Search"
1957,MasterLink Recruitment Services,,2009,Central and Western District,"Flat 506, 5th floor, Kai Wong Commercial Building, 222 Queen's Road Central, Central, Hong Kong",21109747,37479002,jane@masterlink.hk,Office Staff / Executive Search
1958,MASTERWELL COMPANY,萬事達行,2017, ,"Shop 42, Ground floor, Laguna Arcade, Laguna City, Kwun Tong, Kowloon",23795766,23795766,masterwell_1992@yahoo.com.hk,"Local Domestic Helpers, Foreign Domestic Helpers"
1959,MATCH EMPLOYMENT AGENCY,合意僱傭公司,2018,Yau Tsim Mong District,"Room 2403, 24th floor, Wu Sang House, 655 Nathan Road, Mong Kok, Kowloon",21777366,21777355,andydai112@gmail.com,Foreign Domestic Helpers
1960,MATCH PACIFIC RECRUITMENT CONSULTANCY,,2018,Sha Tin District,"Room 15L, 15th floor, Grandtech Centre, 8 On Ping Street, Sha Tin, New Territories",23923976,23923937,cv@matchpacific.com,Office Staff / Executive Search
1961,Match Personnel Consultancy,,1997,Wan Chai District,"Room 2204, 22nd floor, Progress Commercial Building, 9 Irving Street, Causeway Bay, Hong Kong",28111977,28111619,info@jobmatch.com.hk,Office Staff / Executive Search
1962,MATCH TALENT LIMITED,,2013,Central and Western District,"Room 503, 5th floor, 299 QRC, 287-299 Queen's Road Central, Sheung Wan, Hong Kong",35275028, , ,Office Staff / Executive Search
1963,MATERNITY EASY,陪月易,2021,Yau Tsim Mong District,"Room 1222, 12th floor, Peninsula Centre, 67 Mody Road, Tsim Sha Tsui East, Kowloon",35677278, ,kit7888@yahoo.com,Local Domestic Helpers
1964,MATOON ASIA LIMITED,,2015,Eastern District,"21st floor, Cityplaza Three, 18 Tai Koo Shing Road, Quarry Bay, Hong Kong", , ,recruithk@matoonasia.com,Office Staff / Executive Search
1965,Matthew Hoyle Limited,,2020,Kwun Tong District,"Room 2103, 21st floor, Futura Plaza, 111 How Ming Street, Kwun Tong, Kowloon",61122304, ,MATTHEW.HOYLE@MATTHEWHOYLE.COM,Office Staff / Executive Search
1966,Mavence Group Limited,,2020,Yau Tsim Mong District,"Room 1708, 17th floor, Wealth Commercial Centre, 48 Kwong Wa Street, Mong Kok, Kowloon", , ,contact@mavencegroup.com,Office Staff / Executive Search
1967,Maverick Consulting Group Limited,,2017,Central and Western District,"9th floor, Amtel Building, 148 Des Voeux Road Central, Central, Hong Kong",64831564, ,jsin@mavcg.com,Office Staff / Executive Search
1968,Maxwell International Employment Agency,新鎧國際僱傭公司,2005,Yau Tsim Mong District,"Room 1406A, 14th floor, Wu Sang House, 655 Nathan Road, Mong Kok, Kowloon",35635088,35636011,maxwellhk@gmail.com,Foreign Domestic Helpers
1969,MAXWIDE HR CONSULTANTS LIMITED,天下人力資源顧問有限公司,2021,Sham Shui Po District,"Unit 9-11, 12th floor, Sterling Centre, 11 Cheung Yue Street, Cheung Sha Wan, Kowloon",21118333,21118333,dickson.lo@800teleservices.com,Office Staff / Executive Search
1970,May Lau & Co. (HK) Limited,,2005,Central and Western District,"Level 44, Champion Tower, 3 Garden Road, Central, Hong Kong",27805232,27713770,may@maylau.com,Office Staff / Executive Search
1971,MAYA CONSULTANT COMPANY,美洋顧問公司,2021,Wong Tai Sin District,"Room 106, 10th floor, Block A, Wing Chai Industrial Building, 27 Ng Fong Street, San Po Kong, Kowloon", , ,mayaagco@gmail.com,Foreign Domestic Helpers
1972,Maycareyou Limited,坐月媽媽冇煩惱有限公司,2017,Sha Tin District,"Flat I, 10th floor, Haribest Industrial Building, 45-47 Au Pui Wan Street, Fo Tan, New Territories",62331239, ,maycareu@gmail.com,Local Domestic Helpers
1973,MB PEOPLE,,2020,Yau Tsim Mong District,"Suite 811, 8th floor, East Wing, Tsim Sha Tsui Centre, 66 Mody Road, Tsim Sha Tsui East, Kowloon",22686888,27213881,rainy@ibchk.com,Office Staff / Executive Search
1974,MBG Consultancy Limited,,2019,Yau Tsim Mong District,"12th floor, 1 Peking Road, Tsim Sha Tsui, Kowloon",39809367, , ,Office Staff / Executive Search
1975,MC Phils Employment Agency,,2021,Kwai Tsing District,"Room A2, 14th floor, So Tao Centre, 11-15 Kwai Sau Road, Kwai Chung, New Territories",98117856, ,enquiry.mc.agency@gmail.com,Foreign Domestic Helpers
1976,McCabe International Limited,,2012,Central and Western District,"16th floor, Wing On Centre, 111 Connaught Road Central, Central, Hong Kong",25415041,28150002,hr@mccabe.com.hk,Office Staff / Executive Search
1977,McCardle Williams (HK) Limited,,2018,Central and Western District,"Suite 1901, 19th floor, Cheung Kong Center, 2 Queen's Road Central, Central, Hong Kong",27727286, ,robert@mccardlewilliams.com,Office Staff / Executive Search
1978,MCG GROUP,,2016,Central and Western District,"7th floor, EIB Centre, 40-44 Bonham Strand, Sheung Wan, Hong Kong",39051800, ,adam@mcg-grp.com,Office Staff / Executive Search
1979,McGregor Boyall Associates (HK) Limited,,2019,Wan Chai District,"14th floor, China Hong Kong Tower, 8 Hennessy Road, Wan Chai, Hong Kong",31242838,30208820,will.probert@zzzzip.com,Office Staff / Executive Search
1980,McHill Talent Solutions Limited,天浩中盈人力顧問有限公司,2019,Wan Chai District,"Room 602, Chung Wai Commercial Building, 447-449 Lockhart Road, Causeway Bay, Hong Kong",37090600,37090699,hr@acctree.hk,Office Staff / Executive Search
1981,Mclaren Consultancy Limited,麥格倫顧問有限公司,2013,Wan Chai District,"Level 20, Lee Garden Three, 1 Sunning Road, Causeway Bay, Hong Kong",34896586, ,info@mclarenconsultant.com.hk,Office Staff / Executive Search
1982,MCLEAN EXECUTIVE LIMITED,,2019,Central and Western District,"26th floor, Prosperity Tower, 39 Queen's Road Central, Central, Hong Kong",37094850, ,r.mclean@mcleanexecutive.com,Office Staff / Executive Search
1983,MCQUEEN & PITT CONSULTANTS LIMITED,,2015,Central and Western District,"18th floor, Three Exchange Square, 8 Connaught Place, Central, Hong Kong",37199766, ,ivanna@mcqpitt.com,Office Staff / Executive Search
1984,ME & YOU EMPLOYMENT AGENCY,美譽女傭,2021,Yau Tsim Mong District,"Room 2B, 1st floor, Fu Tao Building, 98 Argyle Street, Mong Kok, Kowloon",62006608, ,sunnysyip@gmail.com,"Local Domestic Helpers, Foreign Domestic Helpers"
1985,ME JOB PERSONNEL LIMITED,,2012,Central and Western District,"Unit 2302, 23rd floor, New World Tower I, 18 Queen's Road Central, Central, Hong Kong",27066333, ,order@mejob.com.hk,Office Staff / Executive Search
1986,Me2Works Pty Limited,,2021,Wan Chai District,"Room 1209, 12th floor, C.C. Wu Building, 302-308 Hennessy Road, Wan Chai, Hong Kong",62525352, ,samuel.wong@me2works.com,Office Staff / Executive Search
1987,MEDICAL PROFESSIONAL SERVICES LIMITED,麥迪專業醫療服務有限公司,2012,Sham Shui Po District,"Room 2602-2603, 26th floor, Trendy Centre, 682 Castle Peak Road, Lai Chi Kok, Kowloon",82083480,31588777,info@med-pro.com.hk,Other Non-office Worker
1988,Medicmaid Employment,天頤家傭護理,2016,Kwun Tong District,"Unit 712, 7th floor, Kinetic Industrial Centre, 7 Wang Kwong Road, Kowloon Bay, Kowloon",61560323, ,hisying@yahoo.com.hk,"Foreign Domestic Helpers, Local Domestic Helpers, Imported Worker"
1989,MEET THE HELP,,2018,Southern District,"37A, Tower 9, Larvotto, 8 Ap Lei Chau Praya Road, Ap Lei Chau, Hong Kong",52228940, ,yuki@meetthehelp.com.hk,Foreign Domestic Helpers
1990,Meeting Point Employment Agency,,2021,Central and Western District,"Room 1202, 12th floor, Sunny House, 12-16 Li Yuen Street West, Central, Hong Kong",21191003,21191017,meetingpointemployment@gmail.com,"Local Domestic Helpers, Foreign Domestic Helpers, Office Staff / Executive Search, Imported Worker, Other Non-office Worker"
1991,MEGA BASE PERSONNEL AGENCY,,2019,Yau Tsim Mong District,"Unit 1501-1502, 15th floor, Hollywood Plaza, 610 Nathan Road, Mong Kok, Kowloon",22510210,27379944, ,Office Staff / Executive Search
1992,MEGA JOBS DEVELOPMENT LIMITED,寰美發展有限公司,2008,Yau Tsim Mong District,"Suite 1004, 10th floor, Ocean Centre, Harbour City, 5 Canton Road, Tsim Sha Tsui, Kowloon",23757239, ,info@megajobshr.com,Office Staff / Executive Search
1993,MEGA ROBINSON EMPLOYMENT COMPANY,,2017,Yau Tsim Mong District,"Room 142, 1st floor, President Commercial Centre, 608 Nathan Road, Mong Kok, Kowloon",34898606, ,crystalyn_beth@yahoo.com.hk,Foreign Domestic Helpers
1994,MEGADIME CONSULTANT,,2019,Central and Western District,"Flat 2001, 20th floor, Wing Tuck Commercial Centre, 183 Wing Lok Street, Sheung Wan, Hong Kong",95256854, ,megadimeconsultant@ymail.com,"Local Domestic Helpers, Foreign Domestic Helpers"
1995,Megasea Employment Agency Limited,海盈僱傭中心有限公司,2000,Yau Tsim Mong District,"Room 501-502, 5th floor, 168 Sai Yeung Choi Street, Mong Kok, Kowloon",23936886,23809886,info@megasea.hk,"Local Domestic Helpers, Foreign Domestic Helpers"
1996,Megasea Employment Agency Limited,海盈僱傭中心有限公司,2002,Wan Chai District,"Room 1603, 16th floor, McDonald's Building, 46-54 Yee Wo Street, Causeway Bay, Hong Kong",28826660,28821160,info@megasea.hk,Foreign Domestic Helpers
1997,Megasea Employment Agency Limited,海盈僱傭中心有限公司,2004,Tsuen Wan District,"Room 1513, 15th floor, Nan Fung Centre, 264-298 Castle Peak Road, Tsuen Wan, New Territories",24116696,24116690,info@megasea.hk,Foreign Domestic Helpers
1998,Megasea Employment Agency Limited,海盈僱傭中心有限公司,2009,Sha Tin District,"Shop 173, Level 3, Lucky Plaza, Sha Tin, New Territories",26028277,26028090,info@megasea.hk,Foreign Domestic Helpers
1999,Mei Foo Employment Agency Limited,美孚僱傭有限公司,2006,Sham Shui Po District,"Shop 100A2, Ground floor, 69-119 Broadway Street, Mei Foo Sun Chuen, Mei Foo, Kowloon",27853332,27852322,kathy@meifoo.imsbiz.com.hk,"Local Domestic Helpers, Foreign Domestic Helpers"
2000,Mei Maid Employment Agency,好關心僱傭中心,2009, ,"Room 22, 4th floor, Golden Industrial Building, 16-26 Kwai Tak Street, Kwai Chung, New Territories", , , ,Foreign Domestic Helpers
2001,MEI SENG EMPLOYMENT SERVICES,美誠僱傭服務,2017,Sha Tin District,"Shop 112, Lek Yuen Plaza, Lek Yuen Estate, Sha Tin, New Territories",59895386, ,meisenginfo@yahoo.com,"Local Domestic Helpers, Foreign Domestic Helpers"
2002,MELLOW TOP LIMITED,美運有限公司,2018,Tuen Mun District,"Room 305-7, 3rd floor, Kwong Kin Trade Centre, 5 Kin Fat Street, Tuen Mun, New Territories",26798318,26799368,inquiry@mellowtop.com.hk,Other Non-office Worker
2003,Mentari Employment Agency Limited,晨曦僱傭中介有限公司,2021,Sham Shui Po District,"Room 2908, 29th floor, Trendy Centre, 682-684 Castle Peak Road, Cheung Sha Wan, Kowloon",60313757,23751812,mentariken@yahoo.com,Foreign Domestic Helpers
2004,Meraki Executive Search & Consulting Limited,,2017,Wan Chai District,"15th floor, Soundwill Plaza II - Midtown, 1-29 Tang Lung Street, Causeway Bay, Hong Kong",38961331, ,winnie.yuen@merakiexecutive.com,Office Staff / Executive Search
2005,Merci Employment Agency Limited,焯喬僱傭中心有限公司,2018,Kwun Tong District,"Room 807, 8th floor, Core 45, 43-45 Tsun Yip Street, Kwun Tong, Kowloon",95737370, ,superchuiki@hotmail.com,Foreign Domestic Helpers
2006,Merci Supplies and Services,美侍用品與服務,2020,Yuen Long District,"Shop 13A, Ground floor, 72 Tai Tong Road, Yuen Long, New Territories",29440869,81484399,monitamlpak@yahoo.com.hk,Foreign Domestic Helpers
2007,MEREC CONSULTING ASIA LIMITED,,2019,Yau Tsim Mong District,"Unit 04-06, 13th floor, Everglory Centre, 1B Kimberley Street, Tsim Sha Tsui, Kowloon",21594159, ,general@merecgp.com,Office Staff / Executive Search
2008,MERIT ENTREPRENEUR LIMITED,,2020,Tsuen Wan District,"Room 4110, 41st floor, One Midtown, 11 Hoi Shing Road, Tsuen Wan, New Territories",26686938, ,joycecheung@merit-entrepreneur.com,"Office Staff / Executive Search, Other Non-office Worker"
2009,Metro Asia Recruitment Services Co.,盈利僱傭服務公司,2009,Yuen Long District,"Ground floor, 350B Fan Tin Tsuen, San Tin, Yuen Long, New Territories",24436986,24436916,metro_asia@hotmail.com,Foreign Domestic Helpers
2010,METRO PINOY ENTERPRISE,,2007,Eastern District,"Flat A, 17th floor, Bank Tower, 351-353 King's Road, North Point, Hong Kong", , , ,"Foreign Domestic Helpers, Other Non-office Worker"
2011,METRO PINOY ENTERPRISE,,2020,Eastern District,"Unit 93, Ground floor, Block B, King's Park Lane, 278-288 King's Road, North Point, Hong Kong",35967836,25106224,adnarima@hkstar.com / metropinoy@biznetvigator.com,Foreign Domestic Helpers
2012,Mex Consultant Limited,達津顧問有限公司,2016,Kwun Tong District,"Room 2301, 23rd floor, Futura Plaza, 111-113 How Ming Street, Kwun Tong, Kowloon",26260600,30208866,sandysiu66@yahoo.com.hk,Office Staff / Executive Search
2013,MG Consultancy Limited,,2021,Yau Tsim Mong District,"Room 1305, 13th floor, Leader Commercial Building, 54-56 Hillwood Road, Tsim Sha Tsui, Kowloon", , , ,Office Staff / Executive Search
2014,Michael Page International (Hong Kong) Limited,米高蒲志國際(香港)有限公司,1994,Central and Western District,"Suite 1701, 17th floor, Central Tower, 28 Queen's Road Central, Central, Hong Kong",25306100,25306101,enquiries@michaelpage.com.hk,Office Staff / Executive Search
2015,Michael Page International (Hong Kong) Limited,米高蒲志國際(香港)有限公司,2010,Central and Western District,"Unit 1,8,9, 14th floor, Tower I, Admiralty Centre, 18 Harcourt Road, Admiralty, Hong Kong",25306100,25306101,enquiries@michaelpage.com.hk,Office Staff / Executive Search
2016,Michouse Company,明豪公司,2005,Wan Chai District,"Flat B, 2nd floor, Chesterfield Mansion, 11 Kingston Street, Causeway Bay, Hong Kong",28909716,28953866,michousecompany@gmail.com,Foreign Domestic Helpers
2017,Midas Associates Limited,金伯樂顧問有限公司,2007,Central and Western District,"Room 5D, 5th floor, Centre Mark II, 305-313 Queen's Road Central, Sheung Wan, Hong Kong",37939300,31021638,timothy.wong@midasassociates.com,Other Non-office Worker
2018,MIDER CONSULTANTS LIMITED,,2015,Yau Tsim Mong District,"Room 1027A, 10th floor, Ocean Centre, 5 Canton Road, Tsim Sha Tsui, Kowloon",37524132, ,mlau@mider.com.hk,Office Staff / Executive Search
2019,MIDER CONSULTANTS LIMITED,,2018,Wan Chai District,"Room 1829, 18th floor, Soundwill Plaza II Midtown, 1-29 Tang Lung Street, Causeway Bay, Hong Kong",37524132, ,MLAU@MIDER.COM.HK,Office Staff / Executive Search
2020,Midwell Consultancy & Services Limited,中嘉職業顧問有限公司,1999,Central and Western District,"Room C, 32nd floor, Lippo Centre, Tower 1, 89 Queensway, Admiralty, Hong Kong",25032080,25700651,zhangjw@itgassets.com.cn,Imported Worker
2021,MIGHTY DIVINE PERSONNEL CONSULTANTS LIMITED,,2021,Central and Western District,"Unit 2002, 20th floor, Cheung Kong Center, 2 Queen's Road Central, Central, Hong Kong",29162501,29162555,hr@mdgroup.com.hk,Office Staff / Executive Search
2022,MILESTONE RECRUITMENT H.K. LIMITED,,2015,Yau Tsim Mong District,"Unit 701, 7th floor, Tower 2, Silvercord, 30 Canton Road, Tsim Sha Tsui, Kowloon",21627414, ,info@milestonerecruitment.com.hk,"Office Staff / Executive Search, Other Non-office Worker"
2023,Milko Employment Agency,毅高僱傭中心,1999,Wong Tai Sin District,"10th floor, Lee King Industrial Building, 12 Ng Fong Street, San Po Kong, Kowloon",27599551, ,milkoemp@yahoo.com,Foreign Domestic Helpers
2024,Millennium Employment Services,新紀元僱傭中心,2010, ,"Shop 4, Basement, King's Centre, 193-209 King's Road, North Point, Hong Kong", , , ,Foreign Domestic Helpers
2025,Million Pak Limited,百眾有限公司,2007,Central and Western District,"Unit 601, 6th floor, Tung Hip Commercial Building, 248 Des Voeux Road Central, Sheung Wan, Hong Kong",27368628,27368627,kitty.au@millionpak.com,"Office Staff / Executive Search, Other Non-office Worker"
2026,Millions Employment Consultant Service,萬傭顧問服務,2021,Yuen Long District,"Shop 20, 2/F, Tung Yick Building, 8 Yu King Square, Yuen Long, N.T", , , ,"Local Domestic Helpers, Foreign Domestic Helpers, Imported Worker"
2027,MINDSEARCH INTERNATIONAL LIMITED,萬萃國際有限公司,2014,Eastern District,"Room A, 19th floor, Max Share Centre, 367-373 King's Road, North Point, Hong Kong",94123418, ,mabel@mindsearch.com.hk,Office Staff / Executive Search
2028,MINDSET ASIA LIMITED,,2011,Central and Western District,"22nd floor, 1 Lan Kwai Fong, Central, Hong Kong",25377949,28383323,farida@mindsetasia.com,Office Staff / Executive Search
2029,MING DYNASTY EMPLOYMENT AGENCY,明朝僱傭公司,2021,Eastern District,"Shop 16, Ground floor, Block 1-3, Maximall City Garden, 233 Electric Road, North Point, Hong Kong",26383228,26389823,amm6168@gmail.com,Foreign Domestic Helpers
2030,Ming Hay Employment Services Company,明禧僱傭服務中心,2004, ,"Shop 5, Ground floor, Lin Fat Building, 2 Fung Kwan Street, Yuen Long, New Territories", , , ,Foreign Domestic Helpers
2031,Ming Hin Domestic Helper Agency,明軒僱傭中心,2021,Tuen Mun District,"Shop 9, Ground floor, Kar Wah Building, 11-17 Castle Peak Road, Tuen Mun, New Territories",24598198,24302103,minghinzz@yahoo.com.hk,Foreign Domestic Helpers
